City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qui Nhon,13.7667,109.2333,80.17,75,78,5.32,VN,1618531899
Mkushi,-13.6202,29.3939,57.7,83,96,4.65,ZM,1618531906
Avarua,-21.2078,-159.775,84.2,65,14,10.36,CK,1618531913
Faanui,-16.4833,-151.75,82.63,69,33,10.54,PF,1618531919
Bluff,-46.6,168.3333,55.99,69,74,13.0,NZ,1618531926
Snåase,64.2457,12.3778,35.96,99,100,2.04,NO,1618531932
Saint George,37.1041,-113.5841,68.0,14,20,18.41,US,1618531762
Price,39.5994,-110.8107,48.2,34,20,18.41,US,1618531945
Williams Lake,52.1415,-122.1445,66.2,19,20,3.44,CA,1618531952
Ambatondrazaka,-17.8333,48.4167,65.41,98,91,0.45,MG,1618531958
Albany,42.6001,-73.9662,41.0,73,100,4.09,US,1618531965
Kristiansund,63.1115,7.732,37.4,87,94,3.44,NO,1618531757
Ginda,30.6945,78.4932,54.52,32,51,9.19,IN,1618531984
Carnarvon,-24.8667,113.6333,74.43,31,0,16.37,AU,1618531991
Port Hope,43.9408,-82.7127,39.2,93,93,6.91,US,1618531997
Chui,-33.6971,-53.4616,65.59,93,100,3.49,UY,1618531818
Bad Rappenau,49.2406,9.1025,34.0,77,90,5.79,DE,1618532010
Mataura,-46.1927,168.8643,55.99,69,91,13.0,NZ,1618532017
Arai,37.0167,138.25,55.0,46,46,10.22,JP,1618532023
Consolación del Sur,22.5047,-83.5136,78.42,60,27,1.61,CU,1618532036
Semey,50.4111,80.2275,33.8,86,0,4.47,KZ,1618532043
Saskylakh,71.9167,114.0833,1.13,96,97,6.93,RU,1618532049
Port-Gentil,-0.7193,8.7815,82.4,83,40,6.91,GA,1618532056
Hidrolândia,-4.4081,-40.4378,72.45,92,100,2.33,BR,1618532062
New Norfolk,-42.7826,147.0587,55.0,73,44,1.99,AU,1618532069
Villeta,5.0089,-74.4723,60.8,59,20,10.36,CO,1618532082
Nizhniy Odes,63.6445,54.856,27.3,78,35,1.05,RU,1618532088
Rikitea,-23.1203,-134.9692,78.31,72,70,7.99,PF,1618532101
Illapel,-31.6308,-71.1653,67.23,67,1,2.3,CL,1618532109
Araouane,18.9048,-3.5265,85.33,14,15,11.77,ML,1618532115
Polokwane,-23.9045,29.4688,60.8,77,6,3.44,ZA,1618532122
Busselton,-33.65,115.3333,62.01,84,87,3.0,AU,1618532128
Hermanus,-34.4187,19.2345,64.99,63,17,14.0,ZA,1618532003
Kon Tum,14.35,108.0,75.18,75,39,0.98,VN,1618531952
Port Alfred,-33.5906,26.891,64.63,53,92,20.36,ZA,1618532160
Yellowknife,62.456,-114.3525,42.8,52,40,13.8,CA,1618531987
Mount Gambier,-37.8333,140.7667,55.4,62,90,4.61,AU,1618532173
San Luis,-33.295,-66.3356,66.83,60,0,6.38,AR,1618532180
Greymouth,-42.4667,171.2,60.1,83,67,12.64,NZ,1618532186
Ushuaia,-54.8,-68.3,46.4,71,75,6.91,AR,1618531818
Makakilo City,21.3469,-158.0858,82.4,57,75,8.05,US,1618532199
Nanortalik,60.1432,-45.2371,25.75,75,23,45.9,GL,1618532206
Kaitangata,-46.2817,169.8464,49.06,88,73,10.47,NZ,1618532212
Bambous Virieux,-20.3428,57.7575,78.01,100,75,4.61,MU,1618532219
Bredasdorp,-34.5322,20.0403,62.6,67,24,17.27,ZA,1618532225
Bengkulu,-3.8004,102.2655,72.39,93,100,5.97,ID,1618532232
Half Moon Bay,37.4636,-122.4286,64.99,76,1,8.05,US,1618532185
Airai,-8.9266,125.4092,66.81,66,82,2.98,TL,1618532251
Pemberton,50.3164,-122.8027,69.8,16,1,1.66,CA,1618532106
Akdepe,42.0551,59.3788,53.6,37,0,6.91,TM,1618532270
Portland,45.5234,-122.6762,77.0,22,20,10.36,US,1618532012
Amlapura,-8.45,115.6167,82.4,78,20,2.3,ID,1618532283
Cabedelo,-6.9811,-34.8339,75.2,100,20,5.75,BR,1618532290
Alizai,33.5383,70.3462,60.53,72,100,0.76,PK,1618532296
Tasiilaq,65.6145,-37.6368,26.6,100,90,11.34,GL,1618532081
Tual,-5.6667,132.75,83.8,69,87,11.34,ID,1618532309
Muros,42.7762,-9.0603,51.01,61,1,14.0,ES,1618532322
Atuona,-9.8,-139.0333,80.53,70,21,17.11,PF,1618532115
Kapaa,22.0752,-159.319,80.6,57,1,12.66,US,1618532341
Gazimurskiy Zavod,51.5461,118.3266,33.13,47,96,8.61,RU,1618532348
Port Hedland,-20.3167,118.5667,78.8,50,2,12.66,AU,1618532116
Safi,32.2994,-9.2372,62.26,83,1,1.52,MA,1618532361
Harboøre,56.6175,8.1807,37.99,3,12,9.6,DK,1618532374
Grindavik,63.8424,-22.4338,44.6,100,90,17.27,IS,1618532380
Tuktoyaktuk,69.4541,-133.0374,17.6,86,90,14.97,CA,1618532124
Qaanaaq,77.484,-69.3632,0.63,64,1,6.38,GL,1618532393
Castro,-24.7911,-50.0119,59.54,90,88,4.83,BR,1618532399
Hobart,-42.8794,147.3294,55.4,47,20,14.97,AU,1618532215
Dikson,73.5069,80.5464,-9.54,94,100,17.58,RU,1618532146
Médéa,36.2642,2.7539,59.0,82,40,16.11,DZ,1618532418
Katsuura,35.1333,140.3,57.0,61,100,11.9,JP,1618532425
Cape Town,-33.9258,18.4232,66.99,72,0,5.75,ZA,1618531921
Vaini,-21.2,-175.2,76.59,65,59,13.13,TO,1618532444
Baruun-Urt,46.6806,113.2792,28.99,52,93,17.81,MN,1618532451
Ordu,40.9086,37.6845,46.4,100,0,2.3,TR,1618532457
Marrakesh,31.6315,-8.0083,60.8,82,40,4.61,MA,1618532404
Kysyl-Syr,63.8986,122.7617,23.54,89,74,7.27,RU,1618532476
Aklavik,68.2191,-135.0107,26.6,54,75,6.91,CA,1618532206
Lebu,-37.6167,-73.65,54.64,88,31,12.17,CL,1618532489
Freeport,40.6576,-73.5832,48.99,93,90,12.66,US,1618532496
Agüimes,27.9054,-15.4461,68.0,68,40,11.5,ES,1618532503
Fortuna,40.5982,-124.1573,57.99,76,1,16.11,US,1618532509
Provideniya,64.3833,-173.3,17.6,67,90,11.18,RU,1618532516
Lompoc,34.6391,-120.4579,61.0,72,7,12.66,US,1618532522
Otofuke,42.9917,143.2003,44.6,45,75,2.3,JP,1618532541
Hamilton,39.1834,-84.5333,50.0,46,75,12.66,US,1618532554
Zlobin,45.2924,14.6541,44.6,42,0,8.05,HR,1618532561
Nabire,-3.3667,135.4833,83.89,65,97,3.09,ID,1618532567
Sitka,57.0531,-135.33,46.4,81,90,2.46,US,1618532574
Villa Corzo,16.1667,-93.25,95.0,31,75,5.75,MX,1618532580
Narsaq,60.9167,-46.05,30.2,37,75,17.27,GL,1618532587
Hithadhoo,-0.6,73.0833,82.44,67,56,6.6,MV,1618532594
Faya,18.3851,42.4509,62.6,59,20,6.91,SA,1618532600
Basay,9.4087,122.64,82.42,73,100,4.79,PH,1618532607
Caudry,50.1249,3.4119,37.0,81,71,7.11,FR,1618532613
Luga,58.7372,29.8453,37.08,79,99,9.6,RU,1618532620
Devarkonda,16.7,78.9333,77.32,67,3,1.7,IN,1618532627
Puerto Ayora,-0.7393,-90.3518,78.01,94,54,5.06,EC,1618532633
Liberal,37.0431,-100.921,42.8,75,90,17.27,US,1618532646
Pervomayskoye,43.919,46.7102,51.87,60,38,6.24,RU,1618532652
Ribeira Grande,38.5167,-28.7,62.13,87,56,15.28,PT,1618532659
Mar del Plata,-38.0023,-57.5575,68.0,94,0,6.91,AR,1618532395
George Town,5.4112,100.3354,78.8,89,40,1.14,MY,1618532472
Doka,13.5167,35.7667,83.62,8,20,11.74,SD,1618532679
Barrow,71.2906,-156.7887,12.2,79,90,8.05,US,1618532686
Riyadh,24.6877,46.7219,77.0,20,0,3.44,SA,1618532470
Camacha,33.0833,-16.3333,64.4,77,40,13.8,PT,1618532699
Khatanga,71.9667,102.5,14.18,93,100,12.15,RU,1618532705
Chokurdakh,70.6333,147.9167,-4.09,91,47,1.61,RU,1618532712
Port Elizabeth,-33.918,25.5701,62.6,59,75,6.91,ZA,1618532725
Ambon City,-3.6954,128.1814,84.2,74,20,2.3,ID,1618532731
Tuatapere,-46.1333,167.6833,55.99,71,77,15.01,NZ,1618532744
Mahébourg,-20.4081,57.7,75.2,100,75,4.61,MU,1618532751
Pergamino,-33.89,-60.5736,68.0,82,0,4.0,AR,1618532757
Punta Arenas,-53.15,-70.9167,50.0,71,75,10.36,CL,1618532467
Vredendal,-31.6683,18.5012,76.21,42,58,9.19,ZA,1618532770
Hilo,19.7297,-155.09,80.6,54,75,11.5,US,1618532777
Vanimo,-2.6741,141.3028,83.34,69,92,3.27,PG,1618532783
Waddān,29.1614,16.139,72.77,25,90,16.6,LY,1618532790
Qasigiannguit,68.8193,-51.1922,8.6,72,20,6.91,GL,1618532796
Kailua,21.4022,-157.7394,82.4,73,75,14.97,US,1618532752
Nizhniy Kuranakh,58.8353,125.4869,28.36,76,52,11.68,RU,1618532809
Lüderitz,-26.6481,15.1594,77.72,28,78,4.21,NA,1618532816
Zhigansk,66.7697,123.3711,18.0,94,98,15.59,RU,1618532730
Shunyi,40.125,116.6453,57.0,21,0,6.71,CN,1618532829
Torrington,41.8007,-73.1212,39.0,99,100,4.0,US,1618532835
Yumen,40.2833,97.2,41.31,16,0,14.12,CN,1618532848
Tabou,4.423,-7.3528,80.38,82,91,5.21,CI,1618532854
Richards Bay,-28.783,32.0377,72.84,77,49,20.98,ZA,1618532861
Kapit,2.0167,112.9333,75.56,93,86,0.74,MY,1618532867
Yulara,-25.2406,130.9889,64.4,55,61,18.41,AU,1618532874
Laas,46.6166,10.7002,30.99,68,0,3.44,IT,1618532881
Dvinskoy Bereznik,62.8551,42.7072,29.53,91,4,2.8,RU,1618532887
Jamestown,42.097,-79.2353,37.99,93,90,8.05,US,1618532399
Anloga,5.7947,0.8973,84.2,74,20,8.05,GH,1618532900
Araranguá,-28.9347,-49.4858,65.57,82,75,2.59,BR,1618532913
Medeiros Neto,-17.3739,-40.2206,71.92,68,100,5.21,BR,1618532732
Athabasca,54.7169,-113.2854,62.6,19,2,2.3,CA,1618532925
Atar,20.5169,-13.0499,77.95,22,17,7.72,MR,1618532932
Butaritari,3.0707,172.7902,82.44,74,98,9.33,KI,1618532938
Dunmore Town,25.5,-76.65,73.15,66,6,4.25,BS,1618532945
Husavik,66.0449,-17.3389,51.8,66,75,27.63,IS,1618532951
Jiehu,35.5428,118.455,61.0,77,66,1.01,CN,1618532957
Tiksi,71.6872,128.8694,3.67,97,98,2.82,RU,1618532964
Poronaysk,49.2167,143.1167,38.34,59,3,5.82,RU,1618532971
Fare,-16.7,-151.0167,82.49,73,25,10.33,PF,1618532977
Atlantic City,39.3643,-74.4229,57.0,67,75,9.22,US,1618532984
Katangli,51.7102,143.2326,33.13,88,10,10.69,RU,1618532990
Chiredzi,-21.05,31.6667,64.35,71,0,4.34,ZW,1618532997
Hofn,64.2539,-15.2082,45.39,96,100,22.44,IS,1618533003
Nome,64.5011,-165.4064,30.0,86,20,14.97,US,1618533010
East London,-33.0153,27.9116,64.11,67,100,21.09,ZA,1618533016
Clyde River,70.4692,-68.5914,5.0,78,1,27.63,CA,1618533023
Ilulissat,69.2167,-51.1,8.6,72,20,6.91,GL,1618533029
Mwinilunga,-11.7358,24.4293,59.72,91,95,3.13,ZM,1618533036
San Rafael,-34.6177,-68.3301,67.87,42,0,4.7,AR,1618533042
Yangambi,0.8102,24.4336,69.24,99,100,3.36,CD,1618533049
Loíza,18.4313,-65.8802,75.2,73,1,9.22,PR,1618533055
Baldeogarh,24.755,79.0681,80.73,29,1,9.73,IN,1618533062
Gryfice,53.9165,15.2003,39.99,75,75,9.22,PL,1618533068
Arak,34.0917,49.6892,51.15,23,39,1.63,IR,1618532868
Ahipara,-35.1667,173.1667,68.58,59,0,7.23,NZ,1618533081
Tezu,27.9167,96.1667,79.95,34,100,0.6,IN,1618533087
San Blas,21.5167,-105.2667,82.4,51,1,9.22,MX,1618533094
Iqaluit,63.7506,-68.5145,6.8,72,75,10.36,CA,1618533100
Cayenne,4.9333,-52.3333,82.0,83,75,8.05,GF,1618533107
Petatlán,17.5167,-101.2667,86.0,58,40,4.16,MX,1618533004
Asău,46.4333,26.4,41.0,87,75,4.61,RO,1618533120
Poya,-21.35,165.15,79.75,80,99,6.96,NC,1618533126
Hong Kong,22.2855,114.1577,73.0,89,100,1.01,HK,1618532983
Naze,28.3667,129.4833,71.6,78,75,10.36,JP,1618533139
Saint-Philippe,-21.3585,55.7679,77.0,78,0,5.75,RE,1618533145
Esperance,-33.8667,121.9,57.2,100,40,8.05,AU,1618533152
Eura,61.1333,22.1333,35.6,64,0,3.44,FI,1618533158
San Juan Bautista,-14.0108,-75.7358,66.2,82,0,18.41,PE,1618533171
Abhā,18.2164,42.5053,62.6,59,20,6.91,SA,1618533178
Oktyabr'skoye,43.0645,44.7417,39.2,87,12,6.71,RU,1618533184
Pisco,-13.7,-76.2167,66.2,82,0,18.41,PE,1618533191
Ancud,-41.8697,-73.8203,51.8,87,75,4.61,CL,1618533197
Saint Anthony,45.0205,-93.218,50.0,57,90,8.05,US,1618533204
Honiara,-9.4333,159.95,87.35,65,10,4.34,SB,1618533210
Sault Ste. Marie,46.5168,-84.3333,39.2,70,90,12.66,CA,1618533103
Tokur,53.1333,132.9,28.06,61,91,2.84,RU,1618533223
Doha,25.2867,51.5333,75.2,41,0,11.5,QA,1618533152
Kwang Binh,17.4833,106.6,76.87,85,58,0.83,VN,1618533236
Palivere,58.9664,23.8911,37.0,68,83,5.99,EE,1618533242
San Miguel,13.4833,-88.1833,86.0,89,40,4.61,SV,1618533249
Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,44,20,17.9,RU,1618533255
South Lake Tahoe,38.9332,-119.9844,57.2,34,90,6.93,US,1618533262
Karratha,-20.7377,116.8463,82.58,45,0,19.77,AU,1618533268
Flinders,-34.5833,150.8552,70.0,57,44,5.99,AU,1618533275
Synya,65.3718,58.0387,19.31,80,54,5.48,RU,1618533287
Halifax,44.6453,-63.5724,36.0,87,3,5.75,CA,1618532999
Ponta do Sol,32.6667,-17.1,64.4,72,75,5.75,PT,1618533300
San Cristobal,7.7669,-72.225,82.4,69,75,4.61,VE,1618533307
Waverly,42.7392,-84.6208,42.8,75,90,11.5,US,1618533313
Semenyih,2.9516,101.843,79.0,94,40,2.3,MY,1618533320
Aksarka,66.5606,67.7975,3.49,86,83,1.25,RU,1618533326
Comodoro Rivadavia,-45.8667,-67.5,62.6,36,0,6.91,AR,1618533332
San Quintín,30.4833,-115.95,59.16,68,100,15.14,MX,1618533339
Sur,22.5667,59.5289,84.07,39,0,9.48,OM,1618533346
Belmonte,-15.8631,-38.8828,75.2,73,40,2.3,BR,1618533352
Matagami,49.7502,-77.6328,50.0,66,1,17.27,CA,1618533153
Taoudenni,22.6783,-3.9836,81.12,14,1,10.69,ML,1618533371
Natal,-5.795,-35.2094,78.8,83,20,8.05,BR,1618533096
Houma,29.5958,-90.7195,69.01,83,90,6.91,US,1618533384
Vardø,70.3705,31.1107,37.09,78,100,20.09,NO,1618533390
Eydhafushi,5.1033,73.0708,83.5,68,100,6.04,MV,1618533397
Rupert,42.6191,-113.6772,46.4,61,90,2.68,US,1618533403
Saint Paul Harbor,57.79,-152.4072,42.8,75,90,9.22,US,1618533410
Boende,-0.2167,20.8667,71.6,98,100,2.75,CD,1618533416
Todos Santos,23.45,-110.2167,68.0,74,1,5.99,MX,1618533423
Tonj,7.2737,28.6822,77.79,52,99,4.14,SS,1618533429
Banjar,-8.19,114.9675,82.4,78,20,2.3,ID,1618533436
Kavieng,-2.5744,150.7967,82.65,72,74,6.51,PG,1618533442
Valdivia,-39.8142,-73.2459,55.4,94,20,3.44,CL,1618533234
Kovdor,67.5662,30.4758,28.58,89,100,4.88,RU,1618533455
Cabo San Lucas,22.8909,-109.9124,84.2,30,1,10.36,MX,1618533169
Torbay,47.6666,-52.7314,33.01,93,90,19.57,CA,1618533329
Sarakhs,36.5449,61.1577,60.8,44,82,2.3,IR,1618533474
Alice Springs,-23.7,133.8833,64.4,48,75,11.5,AU,1618533481
São João da Barra,-21.6403,-41.0511,72.52,67,100,7.25,BR,1618533487
Smithers,54.7804,-127.1743,71.6,20,1,3.44,CA,1618533494
Brewster,41.3973,-73.6171,45.0,95,100,3.0,US,1618533500
Palmer,42.1584,-72.3287,42.8,87,90,3.44,US,1618533311
Huautla,21.0333,-98.2833,82.27,58,0,8.52,MX,1618533513
Korla,41.7597,86.1469,56.48,23,64,9.46,CN,1618533520
Shaoguan,24.8,113.5833,67.37,95,100,1.95,CN,1618533526
Honningsvåg,70.9821,25.9704,34.41,99,100,14.41,NO,1618533533
Pundaguitan,6.3711,126.1689,81.61,75,100,4.61,PH,1618533539
Kungurtug,50.5994,97.5228,25.36,69,13,1.9,RU,1618533545
Sioux Lookout,50.1001,-91.917,44.6,42,20,5.75,CA,1618533552
Stornoway,58.2093,-6.3865,46.0,93,83,5.75,GB,1618533558
Lorengau,-2.0226,147.2712,84.88,66,43,4.14,PG,1618533565
Coquimbo,-29.9533,-71.3436,59.0,82,90,4.61,CL,1618533424
Itatinga,-23.1017,-48.6158,60.26,97,44,6.31,BR,1618533579
Tautira,-17.7333,-149.15,87.8,66,75,13.8,PF,1618533585
Boromo,11.75,-2.9333,93.97,22,52,3.56,BF,1618533592
Te Anau,-45.4167,167.7167,53.06,60,11,6.78,NZ,1618533598
Upernavik,72.7868,-56.1549,-16.56,99,49,3.8,GL,1618533605
Zárate,-34.0981,-59.0286,66.99,77,0,3.36,AR,1618533424
Dubti,11.7361,41.0853,80.94,54,3,7.23,ET,1618533618
Kalmunai,7.4167,81.8167,77.54,82,100,5.7,LK,1618533624
Independência,-5.3964,-40.3086,72.5,91,100,3.53,BR,1618533631
Saint-Joseph,-21.3667,55.6167,75.2,78,0,5.75,RE,1618533637
Khandyga,62.6667,135.6,23.09,89,100,3.91,RU,1618533644
Shenjiamen,29.9576,122.298,59.25,76,6,1.77,CN,1618533650
Curup,-3.4667,102.5333,67.24,98,100,1.48,ID,1618533657
Dakar,14.6937,-17.4441,66.2,100,72,13.8,SN,1618533173
Thompson,55.7435,-97.8558,42.8,33,75,5.75,CA,1618533669
Guerrero Negro,27.9769,-114.0611,60.48,64,100,20.54,MX,1618533406
Fontem,5.4685,9.8818,69.24,88,99,2.71,CM,1618533682
Scarborough,54.2797,-0.4044,34.0,90,4,1.68,GB,1618533689
Souillac,-20.5167,57.5167,75.2,100,75,4.61,MU,1618533695
Gurupá,-1.405,-51.64,73.58,96,100,3.36,BR,1618533702
San Patricio,28.017,-97.5169,72.0,94,90,16.11,US,1618533708
Kajaani,64.2273,27.7285,23.0,93,0,2.3,FI,1618533715
Marsala,37.7966,12.4352,55.4,94,75,5.75,IT,1618533721
Lat Yao,15.751,99.7893,84.99,81,76,3.58,TH,1618533728
Havøysund,70.9963,24.6622,39.2,87,75,24.16,NO,1618533734
Lagoa,39.05,-27.9833,61.38,84,100,11.21,PT,1618533741
Siuna,13.7332,-84.7773,75.42,67,25,3.44,NI,1618533747
Henderson,36.0397,-114.9819,73.99,12,1,3.44,US,1618533538
Bilibino,68.0546,166.4372,19.24,82,100,3.74,RU,1618533767
Los Llanos de Aridane,28.6585,-17.9182,68.0,73,40,18.41,ES,1618533773
Iralaya,15.0,-83.2333,82.4,83,40,9.22,HN,1618533780
Raton,36.9034,-104.4391,43.0,81,90,16.11,US,1618533786
Arraial do Cabo,-22.9661,-42.0278,74.64,67,7,12.77,BR,1618533793
Viedma,-40.8135,-62.9967,56.93,79,6,4.32,AR,1618533799
Port Blair,11.6667,92.75,82.78,75,100,7.29,IN,1618533806
Shonguy,68.7526,33.146,35.6,75,0,4.47,RU,1618533812
Manoel Urbano,-8.8389,-69.2597,73.74,94,94,2.06,BR,1618533819
Longyearbyen,78.2186,15.6401,19.4,73,90,3.44,SJ,1618533755
Kloulklubed,7.0419,134.2556,79.5,88,100,43.64,PW,1618533831
Namatanai,-3.6667,152.4333,84.69,68,99,5.53,PG,1618533838
Safaga,26.7292,33.9365,71.6,28,0,10.36,EG,1618533844
Fairbanks,64.8378,-147.7164,48.2,34,40,4.61,US,1618533621
Port Lincoln,-34.7333,135.8667,63.32,65,19,7.34,AU,1618533857
Mae Hong Son,19.3003,97.9685,77.0,73,20,1.14,TH,1618533864
Paraíso,9.8383,-83.8656,69.8,88,90,10.36,CR,1618533870
Coracora,-15.0333,-73.7833,50.9,79,7,1.28,PE,1618533877
Konotop,51.2403,33.2026,46.99,94,100,4.7,UA,1618533883
Thinadhoo,0.5333,72.9333,82.26,66,12,6.17,MV,1618533890
Sulangan,11.1373,123.7228,82.0,79,100,11.97,PH,1618533896
Bathsheba,13.2167,-59.5167,80.6,65,20,18.41,BB,1618533903
Roswell,34.0232,-84.3616,64.4,42,1,8.05,US,1618533626
Jos,9.9167,8.9,78.04,24,100,1.48,NG,1618533916
Tutóia,-2.7619,-42.2744,77.31,89,74,6.15,BR,1618533922
Zhangjiakou,40.81,114.8794,43.39,21,100,13.91,CN,1618533929
Havre-St-Pierre,50.2334,-63.5986,35.6,80,1,3.44,CA,1618533935
Minsk,53.9,27.5667,44.6,93,90,8.95,BY,1618533942
Zhuanghe,39.7008,122.9911,51.08,37,0,17.83,CN,1618533948
Trairi,-3.2778,-39.2689,76.37,91,93,8.21,BR,1618533955
Pevek,69.7008,170.3133,23.25,76,100,25.68,RU,1618533961
Katobu,-4.9408,122.5276,82.45,67,100,2.1,ID,1618533968
Hibbing,47.4272,-92.9377,51.8,50,20,10.36,US,1618533974
Alta Floresta,-9.8756,-56.0861,72.0,96,100,0.94,BR,1618533981
Yabēlo,4.8833,38.0833,58.55,83,46,5.57,ET,1618533987
Peebles,55.6519,-3.1888,41.0,79,2,4.25,GB,1618533994
Rawson,-43.3002,-65.1023,60.84,44,0,12.59,AR,1618533928
Paka,4.6374,103.4368,77.0,94,20,2.08,MY,1618534007
Cidreira,-30.1811,-50.2056,71.51,79,92,14.92,BR,1618534013
Mazagão,-0.115,-51.2894,77.0,94,40,2.3,BR,1618534020
Elizabeth City,36.2946,-76.2511,60.8,77,75,5.75,US,1618534026
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,73.0,81,12,11.01,AR,1618534033
Labuhan,-6.8844,112.2051,80.4,79,57,5.23,ID,1618534039
Filingué,14.3521,3.3168,84.15,12,9,6.62,NE,1618534046
Lahat,-3.8,103.5333,72.57,98,100,1.79,ID,1618534052
